Model,Train Acc,Test Acc,Precision,Recall,F1,CV Mean,CV ±2σ,Overfitting Gap
Random Forest,0.9719311377245509,0.9618263473053892,0.6642335766423357,0.9479166666666666,0.7811158798283262,0.956398923702715,0.009599124222245898,0.01010479041916168
XGBoost,1.0,0.9752994011976048,0.8888888888888888,0.75,0.8135593220338984,0.968188618296353,0.004266391777667876,0.02470059880239517
Isolation Forest,0.8813622754491018,0.8937125748502994,0.11666666666666667,0.07291666666666667,0.08974358974358974,,,-0.012350299401197584
