Model,GridSearch R² (CV Mean),Manual CV R² Mean,Manual CV R² Std
GradientBoosting,0.5389736068374216,0.5389736068374216,0.05671697388788118
RandomForest,0.5143385032337461,0.5143385032337461,0.060199255912378645
