Model,CV_F1_macro,Train_Accuracy,Test_Accuracy,Train_F1_macro,Test_F1_macro,Overfitting_Gap
Gradient Boosting,0.744603746726526,1.0,0.8910256410256411,1.0,0.6668204515848892,10.897435897435892
Random Forest,0.7098948780052101,0.9615384615384616,0.9102564102564102,0.9289241183759759,0.7048673956762193,5.128205128205132
Stacking Ensemble,0.6962412587412588,0.9567307692307693,0.9102564102564102,0.9210640734211227,0.6962412587412588,4.647435897435903
