source,ENGINE_RPM ()_mean,ENGINE_RPM ()_std,ENGINE_RPM ()_max,ENGINE_RPM ()_min,ENGINE_RPM ()_roc,VEHICLE_SPEED ()_mean,VEHICLE_SPEED ()_std,VEHICLE_SPEED ()_max,VEHICLE_SPEED ()_min,VEHICLE_SPEED ()_roc,THROTTLE ()_mean,THROTTLE ()_std,THROTTLE ()_max,THROTTLE ()_min,THROTTLE ()_roc,ENGINE_LOAD ()_mean,ENGINE_LOAD ()_std,ENGINE_LOAD ()_max,ENGINE_LOAD ()_min,ENGINE_LOAD ()_roc,COOLANT_TEMPERATURE ()_mean,COOLANT_TEMPERATURE ()_std,COOLANT_TEMPERATURE ()_max,COOLANT_TEMPERATURE ()_min,COOLANT_TEMPERATURE ()_roc,LONG_TERM_FUEL_TRIM_BANK_1 ()_mean,LONG_TERM_FUEL_TRIM_BANK_1 ()_std,LONG_TERM_FUEL_TRIM_BANK_1 ()_max,LONG_TERM_FUEL_TRIM_BANK_1 ()_min,LONG_TERM_FUEL_TRIM_BANK_1 ()_roc,SHORT_TERM_FUEL_TRIM_BANK_1 ()_mean,SHORT_TERM_FUEL_TRIM_BANK_1 ()_std,SHORT_TERM_FUEL_TRIM_BANK_1 ()_max,SHORT_TERM_FUEL_TRIM_BANK_1 ()_min,SHORT_TERM_FUEL_TRIM_BANK_1 ()_roc,INTAKE_MANIFOLD_PRESSURE ()_mean,INTAKE_MANIFOLD_PRESSURE ()_std,INTAKE_MANIFOLD_PRESSURE ()_max,INTAKE_MANIFOLD_PRESSURE ()_min,INTAKE_MANIFOLD_PRESSURE ()_roc,FUEL_TANK ()_mean,FUEL_TANK ()_std,FUEL_TANK ()_max,FUEL_TANK ()_min,FUEL_TANK ()_roc,ABSOLUTE_THROTTLE_B ()_mean,ABSOLUTE_THROTTLE_B ()_std,ABSOLUTE_THROTTLE_B ()_max,ABSOLUTE_THROTTLE_B ()_min,ABSOLUTE_THROTTLE_B ()_roc,PEDAL_D ()_mean,PEDAL_D ()_std,PEDAL_D ()_max,PEDAL_D ()_min,PEDAL_D ()_roc,PEDAL_E ()_mean,PEDAL_E ()_std,PEDAL_E ()_max,PEDAL_E ()_min,PEDAL_E ()_roc,COMMANDED_THROTTLE_ACTUATOR ()_mean,COMMANDED_THROTTLE_ACTUATOR ()_std,COMMANDED_THROTTLE_ACTUATOR ()_max,COMMANDED_THROTTLE_ACTUATOR ()_min,COMMANDED_THROTTLE_ACTUATOR ()_roc,FUEL_AIR_COMMANDED_EQUIV_RATIO ()_mean,FUEL_AIR_COMMANDED_EQUIV_RATIO ()_std,FUEL_AIR_COMMANDED_EQUIV_RATIO ()_max,FUEL_AIR_COMMANDED_EQUIV_RATIO ()_min,FUEL_AIR_COMMANDED_EQUIV_RATIO ()_roc,ABSOLUTE_BAROMETRIC_PRESSURE ()_mean,ABSOLUTE_BAROMETRIC_PRESSURE ()_std,ABSOLUTE_BAROMETRIC_PRESSURE ()_max,ABSOLUTE_BAROMETRIC_PRESSURE ()_min,ABSOLUTE_BAROMETRIC_PRESSURE ()_roc,INTAKE_AIR_TEMP ()_mean,INTAKE_AIR_TEMP ()_std,INTAKE_AIR_TEMP ()_max,INTAKE_AIR_TEMP ()_min,INTAKE_AIR_TEMP ()_roc,TIMING_ADVANCE ()_mean,TIMING_ADVANCE ()_std,TIMING_ADVANCE ()_max,TIMING_ADVANCE ()_min,TIMING_ADVANCE ()_roc,CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_mean,CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_std,CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_max,CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_min,CATALYST_TEMPERATURE_BANK1_SENSOR1 ()_roc,CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_mean,CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_std,CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_max,CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_min,CATALYST_TEMPERATURE_BANK1_SENSOR2 ()_roc,CONTROL_MODULE_VOLTAGE ()_mean,CONTROL_MODULE_VOLTAGE ()_std,CONTROL_MODULE_VOLTAGE ()_max,CONTROL_MODULE_VOLTAGE ()_min,CONTROL_MODULE_VOLTAGE ()_roc,COMMANDED_EVAPORATIVE_PURGE ()_mean,COMMANDED_EVAPORATIVE_PURGE ()_std,COMMANDED_EVAPORATIVE_PURGE ()_max,COMMANDED_EVAPORATIVE_PURGE ()_min,COMMANDED_EVAPORATIVE_PURGE ()_roc,TIME_RUN_WITH_MIL_ON ()_mean,TIME_RUN_WITH_MIL_ON ()_std,TIME_RUN_WITH_MIL_ON ()_max,TIME_RUN_WITH_MIL_ON ()_min,TIME_RUN_WITH_MIL_ON ()_roc,TIME_SINCE_TROUBLE_CODES_CLEARED ()_mean,TIME_SINCE_TROUBLE_CODES_CLEARED ()_std,TIME_SINCE_TROUBLE_CODES_CLEARED ()_max,TIME_SINCE_TROUBLE_CODES_CLEARED ()_min,TIME_SINCE_TROUBLE_CODES_CLEARED ()_roc,DISTANCE_TRAVELED_WITH_MIL_ON ()_mean,DISTANCE_TRAVELED_WITH_MIL_ON ()_std,DISTANCE_TRAVELED_WITH_MIL_ON ()_max,DISTANCE_TRAVELED_WITH_MIL_ON ()_min,DISTANCE_TRAVELED_WITH_MIL_ON ()_roc
live1,1349.277027027027,613.2333953446404,1820.25,0.0,50.91002935094394,0.0,0.0,0.0,0.0,0.0,19.73502883783784,1.0977825999865092,21.17647,17.647058,0.1846859617770671,24.0593532972973,11.850888532602156,38.823528,0.0,1.927457127476487,25.81081081081081,1.1014595831047154,28.0,25.0,0.2073911013274634,1.0557432432432432,1.6898635572042395,2.34375,-2.34375,0.0624332933093189,0.0,0.0,0.0,0.0,0.0,40.08108108108108,27.687119326079717,101.0,23.0,-2.3948369021412828,36.07843,7.203437882095211e-15,36.07843,36.07843,0.0,51.754107621621614,2.493079154111084,53.725491,44.705883,0.3812876348809292,16.078432000000003,3.601718941047605e-15,16.078432,16.078432,0.0,31.764705999999997,7.203437882095211e-15,31.764706,31.764706,0.0,19.20508724324324,2.428852522024254,20.784313,13.333333,0.3328924754185852,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,24.81081081081081,0.3970612769556578,25.0,24.0,0.0346207724634788,14.0,7.6702889993359005,24.0,5.0,-0.6367820692415445,171.41621929729726,185.3462146131137,434.700012,25.699997,-28.953369678340334,112.39189310810812,128.33001063028624,295.100006,24.599998,-21.138129977453133,13.391729729729724,1.292764880415629,14.414,10.332,0.1947771329464348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.0,0.0,7835.0,7835.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,1372.4926470588234,111.53366941866868,1519.5,1133.5,-21.222693296897567,0.0,0.0,0.0,0.0,0.0,20.795847264705884,0.41507902267066,21.17647,20.0,-0.0535503873171509,37.75086514705882,2.442939090999647,41.176472,34.509804,0.2221129306381618,29.08823529411765,1.781515307664756,33.0,26.0,0.3636875100466168,0.0919117647058823,0.601004386241598,0.78125,-0.78125,-0.0605936545571451,0.0,0.0,0.0,0.0,0.0,37.35294117647059,2.144511711621884,41.0,34.0,0.1662915929914814,36.6205295,0.5376530000648602,37.254902,36.07843,0.0936423821732852,53.58708170588235,0.4618149302526,54.117645,52.549019,-0.0630692055939544,16.078432,0.0,16.078432,16.078432,0.0,31.764706,0.0,31.764706,31.764706,0.0,20.818915264705883,0.3255014103142468,21.17647,20.0,-0.0234814590098053,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,25.352941176470587,0.485071250072666,26.0,25.0,0.0856775438032475,5.147058823529412,3.838657853683636,9.0,-1.0,-0.182687670792477,95.4294113529412,34.79610295841634,148.899994,44.099998,7.265728925333549,25.808824,1.0872176674120269,27.800003,24.599998,0.2189118665809361,14.246941176470589,0.1674773510108285,14.316,13.593,0.0089520977334834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.0,0.0,7835.0,7835.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,1110.344827586207,136.84836521338627,1375.0,969.5,-31.454571634269257,0.0,0.0,0.0,0.0,0.0,20.135226448275866,0.319207287964553,20.784313,19.607843,-0.0242803816414692,39.71602434482758,3.3224347874587843,46.274509,35.686275,0.6216632714182858,32.93103448275862,1.7511431874790218,35.0,30.0,0.4048956083513317,-0.2693965517241379,0.7011337773475793,0.78125,-1.5625,-0.1180030597552195,-0.1346982758620689,0.7253724147541089,0.0,-3.90625,-0.0492148128149747,39.58620689655172,3.396607986331052,47.0,36.0,0.6964722822174225,36.98444803448276,0.3646289463269958,37.254902,36.07843,-0.0284023994960406,52.61663310344828,0.4695239238232511,53.725491,52.156864,-0.066178150107991,16.078432000000003,3.6155984488964594e-15,16.078432,16.078432,0.0,31.764706000000007,7.231196897792919e-15,31.764706,31.764706,0.0,20.12170372413793,0.4459398849724913,21.17647,19.607843,-0.060333959827214,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,26.0,0.0,26.0,26.0,0.0,2.7586206896551726,4.364263744270808,9.0,-2.0,-0.7416846652267817,164.31724231034485,26.08394629568973,202.300003,110.600006,6.133463288192945,29.058620275862072,1.815708164036947,32.099998,26.0,0.4283368069114465,14.225689655172417,0.0384132635652578,14.277,14.16,-0.0086004319654428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.0,0.0,7835.0,7835.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,974.3863636363636,65.68229911942514,1260.0,900.0,-1.3468819599109196,1.6666666666666667,3.027650354097492,8.0,0.0,0.4573125463994063,20.11883545454545,0.183017210000879,20.392157,20.0,-0.0048522271714921,44.491978939393945,2.547305169349009,49.411766,39.607841,0.1379002285325417,36.121212121212125,1.4088465086191913,39.0,34.0,0.2781489730264785,-0.9706439393939394,0.5178655978747007,0.0,-1.5625,-0.0007733234347933,-5.847537878787879,4.534957787807096,0.0,-12.5,-0.8436958673595646,44.60606060606061,2.7719509593807974,50.0,40.0,0.1698836921554072,36.601306,1.141921536109668,39.607841,35.294117,0.0410983151447658,52.56090339393939,0.3019358367697883,52.941177,52.156864,0.0011159776045536,16.292335696969698,0.855196905173579,19.607843,16.078432,0.0681252308834445,32.00237684848485,0.9502190796777844,35.686275,31.764706,0.0756947245731255,20.130719,0.2333800956876738,20.392157,19.607843,0.0133436247216035,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,26.0,0.0,26.0,26.0,0.0,-1.2424242424242424,3.889330782974616,7.0,-6.0,0.0289532293986638,218.4969717878788,24.186752434047293,257.399994,174.699997,4.958834181885672,34.36060666666666,3.144334565207604,40.099998,29.599998,0.6395324230388518,14.182181818181816,0.0253259433998202,14.218,14.121,-0.0010459044790893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.0,0.0,7835.0,7835.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,975.2931034482758,118.35849124899708,1260.0,878.0,-4.356701485949681,8.551724137931034,3.7946033756276982,13.0,0.0,0.8390466382227455,20.04056782758621,0.423726736929599,20.784313,19.607843,-0.0521856771369722,42.27180489655173,4.529102400790529,49.411766,33.333332,-0.3214509450492864,39.06896551724138,1.0997088732529758,40.0,37.0,0.2440782698249226,-0.6196120689655172,0.7346394359352625,0.78125,-1.5625,0.0137353795792261,-10.075431034482758,2.392943804837382,-6.25,-13.28125,-0.2006284941886126,42.51724137931034,3.58190581410005,50.0,37.0,-0.3987053111666909,34.59093931034483,3.751755969106677,39.607841,27.058823,-0.6824520702515822,52.292089965517256,0.2167236096487364,52.941177,52.156864,-0.0342422016330736,16.56524731034483,1.2385804487177796,19.607843,16.078432,-0.0540030519346769,32.30561206896552,1.376200927491226,35.686275,31.764706,-0.060003409739591,19.864773448275866,0.3192075058324234,20.392157,19.607843,-0.057782144401942,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,26.0,0.0,26.0,26.0,0.0,4.586206896551724,8.874189063069007,24.0,-5.0,0.308297778431661,264.29999627586204,18.44779738691429,293.399994,228.5,4.3883979405620135,41.8379321724138,3.7266806887187456,48.300003,35.300003,0.8828158411799323,14.176999999999996,0.0234642585344481,14.218,14.121,-0.0001151978814182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.0,0.0,7835.0,7835.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,845.8088235294117,98.90173533927212,953.75,670.25,-13.98474576271188,11.794117647058824,1.0668393354005712,13.0,10.0,-0.0731124807395995,19.607843,0.0,19.607843,19.607843,0.0,45.73241111764706,5.1039908683476005,55.686275,41.176472,0.4907399396764256,41.41176470588236,1.2089977581958695,43.0,40.0,0.2431432973805857,-1.3327205882352942,0.8499485540685858,-0.78125,-3.125,-0.0806529275808937,-9.880514705882351,1.9413218444052656,-5.46875,-12.5,0.0986493644067796,45.5,5.684908250638864,58.0,41.0,0.6286594761171037,35.50172958823529,6.180395854771161,49.019608,27.058823,0.9368862591679508,51.91464876470587,0.1934398621725555,52.156864,51.764706,-0.0341401032357476,16.113034088235295,0.1129028792341261,16.470589,16.078432,0.0109671025423728,31.833910088235296,0.2258054705660107,32.549019,31.764706,0.0219341771186439,19.607843,0.0,19.607843,19.607843,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,26.147058823529413,0.3594906279535709,27.0,26.0,0.043990755007704,3.764705882352941,5.731670778304826,10.0,-6.0,0.2554699537750389,300.97058647058816,15.1845568916992,323.5,270.799988,3.0921966665639444,50.91764917647059,4.701997197915,58.400002,42.800003,0.9589293070107858,14.125176470588237,0.0774375488703286,14.179,13.925,-0.009707935285054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835.382352941177,0.4932702180563817,7836.0,7835.0,0.0858243451463792,0.0,0.0,0.0,0.0,0.0
live1,816.2327586206897,69.49228923806439,900.0,670.25,2.992350611951053,11.482758620689657,1.2427127485342129,13.0,10.0,-0.0031677465802736,18.958755551724146,0.7862434346498359,19.607843,18.039215,-0.1618318159827215,42.29885051724137,7.301857688321394,55.686275,32.549019,-1.1635681952483805,43.89655172413793,1.046928418422431,45.0,42.0,0.2357091432685381,-0.646551724137931,1.401731417204831,0.78125,-3.125,0.2335313174946004,-10.560344827586206,3.3836893250231856,-5.46875,-18.75,-0.3776322894168462,42.10344827586207,8.173759528367972,58.0,34.0,-1.2545716342692583,37.94455672413793,4.664447879322618,49.019608,34.117645,-0.6265475080633551,51.21027744827585,0.997152724883009,52.156864,49.803921,-0.1714592483081347,17.02501755172414,1.327873319017524,19.215687,16.078432,0.0953147249820014,32.792427517241386,1.3520431853434849,34.901962,31.764706,0.0971216963282938,19.121027413793104,0.7385471062259198,19.607843,18.039215,-0.1385677866090714,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,26.79310344827586,0.4122508203948856,27.0,26.0,0.0684665226781856,2.7586206896551726,7.288225202405949,10.0,-6.0,0.3189344852411798,329.0103444137932,10.206731663818571,343.600006,309.299988,2.41188596011519,60.86206872413792,4.2679356892465,67.599998,53.300003,1.0104313845212385,14.100310344827582,0.0822205672254627,14.179,13.925,0.0066545716342692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7836.0,0.0,7836.0,7836.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,903.060606060606,72.1644722551978,989.0,796.75,12.650577699510356,12.272727272727272,1.4420629162923004,14.0,8.0,0.0282192251524782,18.70469412121212,0.532353140289106,19.215687,18.039215,0.1060990932480027,35.90017772727273,1.434494741426669,37.254902,32.549019,0.1405276029550729,45.696969696969695,0.6839612783652523,47.0,45.0,0.1330641697448673,0.4971590909090909,0.3816439144212478,0.78125,0.0,-0.0493272699939867,-11.742424242424242,3.666910126645312,-7.8125,-18.75,0.2843532557340431,35.93939393939394,1.4777388541999297,38.0,34.0,0.272957649686453,35.32976836363637,2.5963991969520106,40.392159,30.196079,0.0720577331844346,50.89720657575757,0.8010323693733832,52.156864,49.803921,0.1270188412507512,16.803328030303028,1.3047734879713917,19.215687,16.078432,-0.0895246865389568,32.52525290909091,1.3653154265323708,34.901962,31.764706,-0.0947294462675023,18.77599533333333,0.5862519619284693,19.607843,18.039215,0.0790142893651748,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,27.0,0.0,27.0,27.0,0.0,3.4545454545454546,4.123794589717317,10.0,-2.0,-0.1173868224379358,347.49999909090906,7.289119271220874,358.399994,334.100006,1.5187485078601517,70.31515018181818,4.511521641779815,77.199997,62.699997,0.943574497079289,14.052454545454545,0.2438717761074828,14.199,13.417,-0.0051137359333388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7836.0,0.0,7836.0,7836.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,913.9137931034484,87.88492567043862,989.0,711.5,-5.554628275036579,8.379310344827585,3.922588368333996,14.0,3.0,-0.8739859023806366,19.215687,0.0,19.215687,19.215687,0.0,39.81068203448275,6.983428718620314,56.862743,36.07843,0.2005377139912227,47.41379310344828,1.018305363242226,49.0,46.0,0.2258944008511772,-0.3502155172413793,1.1547522668848136,0.78125,-3.125,-0.0323659229950792,-9.051724137931034,1.1721956663078217,-7.8125,-10.9375,0.0785510041228893,39.82758620689656,6.216734130653451,55.0,36.0,0.0988828301635855,37.64705948275862,3.5464890167787235,41.960785,30.196079,0.4114022264263861,51.44016062068964,0.1507560656236266,51.764706,51.372547,-0.0236526275435563,16.078432000000003,3.6155984488964594e-15,16.078432,16.078432,0.0,31.764706000000007,7.231196897792919e-15,31.764706,31.764706,0.0,19.215687,0.0,19.215687,19.215687,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,27.0,0.0,27.0,27.0,0.0,4.310344827586207,4.106644861648549,11.0,0.0,-0.1502194440750109,362.05517365517255,6.231865348373611,372.100006,350.700012,1.416544950791332,79.65861965517242,4.140093872922133,86.699997,72.300003,0.9373921904508588,14.008172413793105,0.1977596067678272,14.14,13.593,-0.007278494480649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7836.0,0.0,7836.0,7836.0,0.0,0.0,0.0,0.0,0.0,0.0
live1,915.6470588235294,53.34493662771207,995.25,836.5,-6.451468735233866,1.8823529411764703,2.43415975027104,7.0,0.0,-0.4481020633170576,18.131488147058825,1.057827999764443,19.215687,16.862745,-0.1777646638053232,31.81084155882353,5.161869495978362,38.823528,25.882353,-0.8155058642305869,49.73529411764706,1.081772494129546,51.0,48.0,0.2134194361316744,1.3786764705882353,1.1224393392015293,2.34375,0.0,0.1836534296739641,-12.063419117647058,4.196997690323166,-7.8125,-19.53125,-0.7652533863600554,31.823529411764707,4.981606095125097,39.0,26.0,-0.7605134666876661,35.06343658823529,3.0880243221999657,41.960785,32.156864,-0.4701684021893212,50.34602017647059,1.2625075084477688,51.372547,48.627453,-0.1626006622302714,16.078432,0.0,16.078432,16.078432,0.0,31.764706,0.0,31.764706,31.764706,0.0,18.21222623529412,0.9854475724900884,19.215687,16.862745,-0.125139403921877,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,27.676470588235293,0.474858079933817,28.0,27.0,0.0830839502283822,4.970588235294118,3.9656501940634623,11.0,0.0,0.6892424003780111,375.2970634117647,5.382884970540984,382.100006,364.5,1.0995276419908655,89.7147049117647,4.853123145100154,97.0,81.300003,1.0012678428098902,14.100029411764709,0.0963234718536792,14.179,13.828,0.0034449519609388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7836.0,0.0,7836.0,7836.0,0.0,0.0,0.0,0.0,0.0,0.0
