Model,CV_F1_macro,Train_Accuracy,Test_Accuracy,Train_F1_macro,Test_F1_macro,Overfitting_Gap
Gradient Boosting,0.7465489708991557,0.9983974358974359,0.9102564102564102,0.997222136485694,0.6964322862492198,8.814102564102566
Random Forest,0.6959952589880223,0.9551282051282052,0.9038461538461539,0.9216841302138989,0.7343464001451868,5.128205128205132
Stacking Ensemble,0.690566675388104,0.9887820512820513,0.9038461538461539,0.9837181287117194,0.690566675388104,8.493589743589746
